product_name,website,country,category,subcategory,title-href,price,brand,ingredients,form,type,color,size,rating,noofratings
KamaSutra KS Woman Desire Perfume Spray 150 ,Flipkart,India,body,perfume,https://www.amazon.in/KamaSutra-KS-Woman-Desire-Perfume/dp/B09Z6K6VTQ/ref=sr_1_146?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661743&sprefix=perfumes%2Caps%2C356&sr=8-146,114,KS WOMAN,,aerosol,,Fragrance-Perfume Spray,150,4.2,163
La French Niche Edition Luxury Perfume Gift Set 4x20  | Extra Long Lasting Fragrance | Eau De Parfum Scent | Euphoria | Mood Swing | Happiness | Invoke | Unisex Gift Set (Luxury Perfume Gift Set),Flipkart,India,body,perfume,https://www.amazon.in/French-Perfume-Fragrance-Euphoria-Happiness/dp/B0BSGQJQ82/ref=sr_1_52?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677662152&sprefix=perfumes%2Caps%2C356&sr=8-52,475,LA' French,,aerosol,,Unbox a treasure of little luxuries with our unisex Luxury Perfume Gift Set that makes for the perfect gift for everyone.,80,4.2,358
La French Euphoria Perfume for Men and Women | Eau De Parfum | Premium Long Lasting Classy Fragrance Scent | Mood Enhancing | Ideal Gift Set (Euphoria Perfume 100 Pack of 1),Flipkart,India,body,perfume,https://www.amazon.in/French-Euphoria-Perfume-Fragrance-Enhancing/dp/B0BL7423JS/ref=sr_1_112?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661743&sprefix=perfumes%2Caps%2C356&sr=8-112,540,LA' French,,aerosol,,"Euphoria The New Eau de Parfum by La French, the perfume of an enormous personality living his/her enormous freedom and following thier instincts.",100,4.2,524
"Park Avenue Neo Perfume For Men Fresh Long Lasting Fragrance Super Saver Mega Pack 220 , Multicolor",Flipkart,India,body,perfume,https://www.amazon.in/Park-Avenue-Mega-Signature-235/dp/B077P7T61W/ref=sr_1_37?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677662152&sprefix=perfumes%2Caps%2C356&sr=8-37,212,Park Avenue,,aerosol,,Park avenue men's - signature mega deodorant and edp,220,4.1,41
Deadsea Mud Purifying Mud Soap,ulta,USA,body,bodywash,https://www.ulta.com/p/deadsea-mud-purifying-mud-soap-xlsImpprod13371075?sku=2297977,980.4,Ahava,"Pottasium Lauryl Sulfate, Disodium Lauryl Sulfosuccinate, Corn (Zea Mays) Starch, Cetearyl Alcohol, Stearic acid, Aqua (Water), Sodiumchlorid, Sodium Sulfate, Citric Acid, Titanium Dioxide, Magnesiumcarbonat, Silt (Dead Sea Mud), Parfum (Fragrance).",cream,all,No color,102,4.7,28
Natural Dead Sea Bath Salts,ulta,USA,body,bodywash,https://www.ulta.com/p/natural-dead-sea-bath-salts-xlsImpprod3310019?sku=2230670,980.4,Ahava,100% Dead Sea salt,cream,all,No color,255,4,1
Superfood Shower Gel Kale & Turmeric,ulta,USA,body,bodywash,https://www.ulta.com/p/superfood-shower-gel-kale-turmeric-pimprod2032502?sku=2571931,1960.8,Ahava,"Aqua (Mineral Spring Water), Ammonium Lauryl Sulfate, Zinc Coceth Sulfate, Cocamidopropyl Betaine, Parfum (Fragrance), Hexyl Cinnamal, Limonene, Geraniol, Linalool, Citronellol, Hydroxyethylcellulose, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate,Lactic Acid, Sodium Chloride, Potassium Sorbate, Glycerin, Citric Acid, Phenoxyethanol, Biosaccharide Gum-1, Aloe Barbadensis Leaf Juice, Allantoin, Curcuma Longa (Turmeric) Root Extract, Brassica Oleracea Acephala (Kale) Leaf Extract, Maris Aqua (Dead Sea Water/Osmoter).",cream,all,No color,0,,
Sea-Kissed Mineral Shower Gel,ulta,USA,body,bodywash,https://www.ulta.com/p/sea-kissed-mineral-shower-gel-pimprod2004001?sku=2542198,1960.8,Ahava,"Aqua (Mineral Spring Water), Ammonium Lauryl Sulfate & Aqua (Water), Zinc Coceth Sulfate, Cocamidopropyl Betaine, Aloe Barbadensis Leaf Juice, Phenoxyethanol & Ethylhexylglycerin, Maris Sal (Dead Sea Water), Hydroxyethylcellulose, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Allantoin, Potassium Sorbate, Parfum (Fragrance), Biosaccharide Gum-1.",cream,all,No color,204,4.7,13
Mineral Botanic Velvet Cream Wash,ulta,USA,body,bodywash,https://www.ulta.com/p/mineral-botanic-velvet-cream-wash-xlsImpprod1060392?sku=2202972,1960.8,Ahava,"Aqua (Water), Ammonium Laureth Sulfate, Cocamidopropylbetain, Glycerin, Peg 7 Glyceryl Cocoate, Cocamide MEA, Maris Sal (Dead Sea Water), Styrene Acrylamide Copolymer, PEG-16 Macademia Glycerides, Persea Gratissima (Avocado) , Vitis Vinifera (Grape) Seed , Disodium Laureth Sulfosuccinat, Polyquaternium 7, Parfum (Fragrance), Guar Hydroxypropyltrimonium Chloride, Decyl Glucoside, DMDM Hydantion, Sodium Hyaluronate, Allantoin, Citric Acid, Hexyl Cinnamal, Benzyl Benzoate, Linalool.",cream,all,No color,510,4.7,301
Eucalyptus Bath Salt,ulta,USA,body,bodywash,https://www.ulta.com/p/eucalyptus-bath-salt-xlsImpprod3230247?sku=2230703,2124.2,Ahava,"100% Dead Sea salt, Fragrance",cream,all,No color,960,4.5,39
